device_id,timestamp,sensor_type,ip_address,firmware_version,data_frequency_seconds,disk_free_percent,update_required,checksum_valid,status,label
raspi_001,2025-05-07 16:46:27.963968,cardio,192.168.201.0,v3.5.8,12,30.9,0,1,1,False
raspi_002,2025-05-07 16:46:28.381556,thermique,192.168.128.134,v2.6.1,11,64.5,0,1,1,False
raspi_003,2025-05-07 16:46:28.802483,multi,192.168.175.27,v1.8.0,13,69.0,0,1,1,False
raspi_004,2025-05-07 16:46:29.647057,thermique,192.168.173.136,v3.0.1,30,56.3,0,1,1,False
raspi_005,2025-05-07 16:46:30.716731,multi,192.168.12.235,v1.2.0,12,43.4,1,1,1,True
raspi_006,2025-05-07 16:46:31.506996,multi,192.168.162.48,v2.4.3,25,79.6,0,1,1,False
raspi_007,2025-05-07 16:46:32.497845,cardio,192.168.23.240,v1.7.3,10,5.7,0,1,1,True
raspi_008,2025-05-07 16:46:33.703661,multi,192.168.205.6,v2.9.2,30,64.5,0,1,1,False
raspi_009,2025-05-07 16:46:35.216331,multi,192.168.112.56,v2.5.0,18,37.6,0,1,1,False
raspi_010,2025-05-07 16:46:37.063595,thermique,192.168.21.53,v3.6.0,11,62.3,0,1,1,False
raspi_011,2025-05-07 16:46:39.114091,cardio,192.168.183.214,v3.4.3,23,34.1,0,1,1,False
raspi_012,2025-05-07 16:46:41.662193,multi,192.168.112.98,v1.3.9,27,45.4,0,1,1,False
raspi_013,2025-05-07 16:46:44.018930,multi,192.168.250.43,v1.3.5,29,77.7,0,1,1,False
raspi_014,2025-05-07 16:46:46.146246,cardio,192.168.93.228,v1.2.6,19,73.5,0,1,1,False
raspi_015,2025-05-07 16:46:48.778284,multi,192.168.192.122,v3.2.4,16,59.7,0,1,1,False
raspi_007,2025-05-07 16:46:49.723270,multi,192.168.117.111,v3.7.0,16,67.7,0,1,1,False
raspi_011,2025-05-07 16:46:50.336212,thermique,192.168.9.145,v1.0.4,17,36.0,0,1,1,False
raspi_002,2025-05-07 16:46:50.720810,multi,192.168.162.165,v3.8.4,23,53.9,0,1,1,False
raspi_006,2025-05-07 16:46:51.726794,cardio,192.168.128.15,v1.1.6,19,34.7,0,1,1,False
